avg,color
-4.040783553105501,Mariam
-4.546799347553174,Mariam
-4.740375024856798,Mariam
-5.356089502699232,Mariam
-2.616006002196527,Mariam
-3.437981804728434,Mariam
-1.6900846638674394,Mariam
-2.1132973603591285,Mariam
-3.0743144201202948,Mariam
-2.116591919351675,Mariam
-3.0030934597738392,Mariam
-1.6525746011103088,Mariam
-2.350046727893789,Mariam
-1.5019624658838173,Mariam
-3.6944876750325006,Mariam
-5.019388838983423,Mariam
-3.1471208485591604,Mariam
-0.5584604744927751,Mariam
-4.135021377728236,Mariam
-5.323079061466798,Mariam
-3.72284780748479,Mariam
-9.01612056898002,Mariam
-3.1527402999456102,Mariam
-5.441663443846734,Mariam
-7.69978442325507,Mariam
-2.2913924169145305,Mariam
-2.2227155537778307,Mariam
-2.7658567138717745,Mariam
-2.181075347837539,Mariam
-4.103146221974663,Mariam
-0.7394608681771551,Mariam
-3.803403588715755,Mariam
-2.440402198619603,Mariam
-3.554371568831565,Mariam
-2.4353091156791096,Mariam
-1.6319297531385097,Mariam
-2.066776694211435,Mariam
-1.8896862246943484,Mariam
-5.301587893667462,Mariam
-5.053129636653155,Mariam
-6.494574682574393,Mariam
-6.401271939931594,Mariam
-5.087667018534085,Mariam
-3.966122898105374,Mariam
-4.899866778159216,Mariam
-6.64529461019341,Mariam
-5.123905976486291,Mariam
-5.965707469145331,Mariam
-4.643640351425647,Mariam
-3.149625616893041,Mariam
-3.0155232402504275,Mariam
-1.7806242442827056,Mariam
-5.481467165276196,Mariam
-3.330832665333003,Mariam
-3.3591859538788014,Mariam
-4.876714204911268,Mariam
-3.0715328435237588,Mariam
-5.658618105342401,Mariam
-5.100444847240439,Mariam
-7.244499272901815,Mariam
-4.1707119502253205,Mariam
-0.8730431295087963,Mariam
-4.762200842595702,Mariam
-5.277673167104818,Mariam
-1.793987410920242,Mariam
-3.1053657287511536,Mariam
-3.7503631015812173,Mariam
-2.9755871744630347,Mariam
-4.465008573681091,Mariam
-4.071011020785548,Mariam
-6.390048523743921,Mariam
-2.0081228032659415,Mariam
-8.173131665719227,Mariam
-5.882257579656455,Mariam
-1.3240052452270294,Mariam
-1.7507553145276709,Mariam
-2.6333896105145427,Mariam
-3.0889820683209237,Mariam
-4.88001741165327,Mariam
-5.715046767386858,Mariam
-3.4070236534569505,Mariam
-5.964748093039388,Mariam
-2.0882876732068927,Mariam
-8.57476911895439,Mariam
-3.347174150827736,Mariam
-4.101846616668949,Mariam
-3.0262938877422676,Mariam
-3.41218144351341,Mariam
-3.9074005638378635,Mariam
-4.667238107049095,Mariam
-2.770455538681396,Mariam
-6.470229770451498,Mariam
-5.592978655922786,Mariam
-2.506009404553201,Mariam
-2.047535869644731,Mariam
-1.6701299944623098,Mariam
-6.088149203300373,Mariam
-4.010527022465377,Mariam
-3.407014206231679,Mariam
-2.565099925783299,Mariam
-3.547876176274258,Mariam
-2.8410467393466656,Mariam
-5.102454033647687,Mariam
-3.5617083582547515,Mariam
-2.8075887224328095,Mariam
-4.458896380358999,Mariam
-2.3554606732657755,Mariam
-3.401632455284157,Mariam
-3.9863482973939015,Mariam
-1.7138467092518632,Mariam
-5.677462141604101,Mariam
-3.611270461233351,Mariam
-3.499431562156058,Mariam
-2.183522958877558,Mariam
-4.1303504063469925,Mariam
-1.8267255417033155,Mariam
-1.1432677979233214,Mariam
-4.44475446277975,Mariam
-4.592968704859446,Mariam
-2.5931174689612044,Mariam
-0.8441361062375892,Mariam
0.17682846451319312,Mariam
-0.09488948720706356,Mariam
-1.7534726661174247,Mariam
-2.1226289841061226,Mariam
-2.831137160816499,Mariam
-2.556043101658908,Mariam
-4.210717153135321,Mariam
-4.247166049900746,Mariam
-1.4592225007454105,Mariam
-3.2110962258508757,Mariam
-1.9199386292680647,Mariam
-3.079063178255057,Mariam
-2.9782803106822007,Mariam
-1.2878653461747838,Mariam
-1.1839407717545862,Mariam
-2.590805866186404,Mariam
-5.669804611633628,Mariam
-5.405529571972099,Mariam
-3.9916457977848436,Mariam
-4.165073678850119,Mariam
-3.8131384368991155,Mariam
-4.018912245195872,Mariam
-2.6923135445939814,Mariam
-2.1837816249805044,Mariam
-1.8168078326576662,Mariam
-1.3811322575180482,Mariam
-1.440947233934142,Mariam
-2.9642544940189364,Mariam
-2.7501158336167877,Mariam
-3.4839173124411333,Mariam
-4.294803784395993,Mariam
-2.512191596400381,Mariam
-3.6534773602192203,Mariam
-5.2050508053923465,Mariam
-4.01374205295995,Mariam
-2.043830067826718,Mariam
-0.5879665490254377,Mariam
-4.344612122965709,Mariam
-4.772935130138618,Mariam
-2.23107436913038,Mariam
-5.860038542427921,Mariam
-4.577793512797507,Mariam
-3.6889336341593824,Mariam
-5.463875391050545,Mariam
-2.0524285284278223,Mariam
-5.0441966776789835,Mariam
-2.2150017924576835,Mariam
-2.1419474951693336,Mariam
-1.999235357802041,Mariam
-3.1483942416367015,Mariam
-4.897618470232971,Mariam
-4.047607177891575,Mariam
-2.8073614419485264,Mariam
-3.5233289870660407,Mariam
-5.076226767130267,Mariam
-3.5265170825947934,Mariam
-2.0789144577253174,Mariam
-1.4089889534391342,Mariam
-3.566372298423338,Mariam
-5.985938223033875,Mariam
-4.645256285596256,Mariam
-4.888650797150852,Mariam
-5.381630194223899,Mariam
-5.949514815121249,Mariam
-1.0376085357218734,Mariam
-6.5299063870622875,Mariam
-4.839325670705819,Mariam
-3.139153907102976,Mariam
-3.1524183125132206,Mariam
-4.035159078782698,Mariam
-3.164095386331246,Mariam
-3.2945938015159855,Mariam
-3.258159770656848,Mariam
-3.520078762246804,Mariam
-5.508158598020792,Mariam
-6.2586581872649525,Mariam
-2.756360612507954,Mariam
-4.2927240470435075,Mariam
-1.5834572690888522,Mariam
-3.7491836722031153,Mariam
-4.735850473171052,Mariam
-3.126007759448142,Mariam
-5.157960029180482,Mariam
-5.641057585084682,Mariam
-6.181164499021817,Mariam
-3.8907075290182127,Mariam
-2.024611531290197,Mariam
-2.8245576180380167,Mariam
-3.1774976024751127,Mariam
-3.239969370900822,Mariam
-4.009893503199278,Mariam
-3.910500160691251,Mariam
-2.295853375469374,Mariam
-3.901917037709466,Mariam
-3.713398910942538,Mariam
-2.5094029001959024,Mariam
-4.195242433486692,Mariam
-4.2765295385945725,Mariam
-3.195535829561467,Mariam
-1.2691171647397903,Mariam
-2.1283647365236105,Mariam
-1.3731752452190005,Mariam
-1.7991622284622886,Mariam
-1.2365768374894064,Mariam
-3.4333441540021212,Mariam
-1.9924688290658015,Mariam
-1.5324859186947621,Mariam
-2.81714942449537,Mariam
0.006101409079212439,Mariam
-2.822970616023449,Mariam
-2.7208566284026348,Mariam
-2.0809398728801662,Mariam
-0.9370939818003269,Mariam
0.7109849778235613,Mariam
-0.5717498508936638,Mariam
-1.0900166173672077,Mariam
-0.9206607933865449,Mariam
-1.4246886477443497,Mariam
-1.0070453311814345,Mariam
-1.242235099968713,Mariam
-2.4566437803283483,Mariam
-2.4276691353895803,Mariam
-3.191651338365916,Mariam
-4.788894160602249,Mariam
-1.3298912679472576,Mariam
-3.0948121084975444,Mariam
-4.790117619791898,Mariam
-2.0856845063027216,Mariam
-1.8629098840100142,Mariam
-1.9724600450476526,Mariam
-5.402816591696481,Mariam
-6.818443315721663,Mariam
-3.123078122070487,Mariam
-2.1441348150803146,Mariam
-1.5062070444156017,Mariam
-1.61761414028101,Mariam
-5.652934935545309,Mariam
-7.465818936640057,Mariam
-4.269312629400995,Mariam
-1.6883254813068422,Mariam
-0.7141980267809196,Mariam
-0.5612602891087701,Mariam
-5.769368123653736,Mariam
-4.2200497539545445,Mariam
-5.074343524853814,Mariam
-3.7436938890162517,Mariam
-4.445391731037687,Mariam
-1.6871523780069082,Mariam
-2.1674376658730403,Mariam
-3.8973638135443287,Mariam
-2.7835561279788483,Mariam
-2.093173916719901,Mariam
-4.546829607377809,Mariam
-3.6250529575956123,Mariam
-5.765392953262568,Mariam
-3.840562416066104,Mariam
-1.7278440675023041,Mariam
-4.248357895073289,Mariam
-5.11678031748412,Mariam
-1.1080912598949308,Mariam
-2.5679721753669495,Mariam
-4.69946862446446,Mariam
-6.119729664860984,Mariam
-3.8249188737027398,Mariam
-2.99172328050006,Mariam
-3.3610634948027367,Mariam
-3.4122092824063266,Mariam
-3.143659080713044,Mariam
-3.342876988000536,Mariam
-5.491981890655646,Mariam
-3.2932379991303917,Mariam
-3.2723193207906776,Mariam
-3.7549441442700897,Mariam
-4.481971237672503,Mariam
-3.786019200384787,Mariam
-1.2687513105131178,Mariam
-2.290036751835897,Mariam
-3.6061233827186,Mariam
-4.383128763411113,Mariam
0.39210435082442874,Mariam
-1.757643887821422,Mariam
-1.2052661976743226,Mariam
1.0026477028000815,Mariam
2.1797333631796922,Mariam
1.5610272472626519,Mariam
0.1929004648704627,Mariam
-1.0846988658536398,Mariam
-1.0199279487112425,Mariam
-3.243033743677247,Mariam
-2.0997517146659135,Mariam
-0.5016917911247429,Mariam
-3.617887661171653,Mariam
-3.8554982346770084,Mariam
-4.887643789608719,Mariam
-2.4425470725357217,Mariam
-1.399983914973514,Mariam
-7.113425692897822,Mariam
-5.652356865067709,Mariam
-0.9095420810303784,Mariam
-1.1450338548606442,Mariam
-1.7849259909228128,Mariam
-5.18089059786067,Mariam
0.15837161301183028,Mariam
-3.9068676326510996,Mariam
-2.4263625806776883,Mariam
-2.2719841486708114,Mariam
-2.4414663195107815,Mariam
-6.5175449399734955,Mariam
-5.1313779787361025,Mariam
-4.021067942545485,Mariam
-3.0695426706644016,Mariam
-2.4482325576090163,Mariam
-4.455847740742927,Mariam
-6.260977134958793,Mariam
-3.40578833778535,Mariam
-7.158479326727415,Mariam
-5.071311093158473,Mariam
-7.551724649672937,Mariam
-4.042643436505925,Mariam
-9.425943063207962,Mariam
-7.642086090701715,Mariam
-9.431558155889292,Mariam
-8.183953590014367,Mariam
-6.7943977121786165,Mariam
-4.743250161990359,Mariam
-2.047138352932837,Mariam
-4.6550943540427,Mariam
-2.8327733871779057,Mariam
-5.862081162212098,Mariam
-6.229639022144837,Mariam
-0.05479335164950812,Mariam
-0.011043040017714367,Mariam
-2.946787688342918,Mariam
-1.312838145454509,Mariam
-5.882046397100431,Mariam
-5.025828061105424,Mariam
-6.426389944764937,Mariam
-9.578321107589332,Mariam
-9.782330046883313,Mariam
-8.618122394306198,Mariam
-7.710188879478541,Mariam
-3.3623594240754864,Mariam
-2.039496930807956,Mariam
-3.101415239869469,Mariam
-1.6820311912881938,Mariam
-0.06790416620465407,Mariam
-0.7062182912308941,Mariam
-3.275668168874372,Mariam
-1.1401703749698766,Mariam
0.37084607430765504,Mariam
-3.163065937850659,Mariam
-5.771739913100768,Mariam
-5.275531320617503,Mariam
-8.139769528501358,Mariam
-3.5988850296882786,Mariam
-1.1458580944982752,Mariam
-1.2858269092123522,Mariam
-2.4817094830350155,Mariam
-6.540196838687072,Mariam
-3.332775705827122,Mariam
-3.562923905021897,Mariam
-2.5554332368428727,Mariam
-2.226187645994693,Mariam
-0.9503244851232502,Mariam
-1.553626524467863,Mariam
-4.986622298891055,Mariam
-2.0845162815747003,Mariam
-5.492613482937314,Mariam
-2.7736581899974047,Mariam
-4.145998116383034,Mariam
-8.162490718758416,Mariam
-10.94343008210459,Mariam
-2.5771447707437494,Mariam
-3.3209760125594463,Mariam
-2.739198612132756,Mariam
-4.62606215630292,Mariam
-9.240661136859881,Mariam
-8.859015923545254,Mariam
-4.691870357777789,Mariam
-4.777212443618351,Mariam
-7.4663618342089295,Mariam
-2.10873885450953,Mariam
-4.191923001354569,Mariam
-2.893046068124951,Mariam
-5.50819223285032,Mariam
-2.9954237373665276,Mariam
-3.1739421631773492,Mariam
-4.0275402089814945,Mariam
-2.9050598303875113,Mariam
-2.512694598101933,Mariam
-2.306510143645147,Mariam
-1.967942949251397,Mariam
-1.6582497491780046,Mariam
-2.3451991037644504,Mariam
-1.5678309528868615,Mariam
-0.7756491717527977,Mariam
-1.2128813639588607,Mariam
-0.14183804817940296,Mariam
-1.434269284336605,Mariam
-2.8912017824807075,Mariam
-1.5767230579365603,Mariam
-2.908326975642339,Mariam
-3.61652011591937,Mariam
-3.8664833699807533,Mariam
-3.508907706023656,Mariam
-3.33806485794592,Mariam
-1.2718774782302054,Mariam
-0.36314846480479035,Mariam
-0.005495095550384655,Mariam
-0.06979389809615748,Mariam
-1.1993930997877271,Mariam
-1.18901500384175,Mariam
-0.6924326472896055,Mariam
-1.4697759292799697,Mariam
-0.830224307419846,Mariam
-0.7118332798282794,Mariam
-1.9524693201935563,Mariam
-2.4046230265222266,Mariam
-3.5358335908954333,Mariam
-2.275239207983346,Mariam
-2.533053271619586,Mariam
-2.8942538391990533,Mariam
-1.8741464430840342,Mariam
-1.928525585800805,Mariam
-1.6732172468629916,Mariam
-1.7668343187183777,Mariam
-1.6757513327974312,Mariam
-1.7462293311479873,Mariam
-1.3291440927053308,Mariam
-1.6464661838714918,Mariam
-2.1226132106232254,Mariam
-2.900502848977424,Mariam
-2.3682581418866255,Mariam
-1.1321564349193418,Mariam
-1.492352255190292,Mariam
-4.164754481968211,Mariam
-3.2162548166157428,Mariam
-2.344259092301734,Mariam
-1.695355553190487,Mariam
-0.9354744101759291,Mariam
-1.0761356111299212,Mariam
-1.538030789412755,Mariam
-3.098720603367996,Mariam
-3.4478748451235197,Mariam
-1.9603684794050475,Mariam
-0.9462573533256595,Mariam
-1.9210431342685823,Mariam
-2.7727114461115394,Mariam
-2.2997203990511177,Mariam
-3.156473535086512,Mariam
-2.3351584078638723,Mariam
-1.146346995943409,Mariam
-2.342898182399581,Mariam
-3.528645072608043,Mariam
-3.0633921306339977,Mariam
-4.504881342715943,Mariam
-3.9806331359113694,Mariam
-2.33559265025895,Mariam
-3.5182608150090244,Mariam
-2.4885505306753934,Mariam
-1.6127692709954822,Mariam
-0.03879593322998093,Mariam
0.25838760963796176,Mariam
-1.16037784962933,Mariam
-1.4625026241001007,Mariam
-1.5016131417424612,Mariam
-1.4982351127270965,Mariam
-0.24121890370642554,Mariam
-1.3980302787574588,Mariam
-2.483619112272853,Mariam
-3.95099913802042,Mariam
-3.818896878223165,Mariam
-4.252638175631811,Mariam
-3.550631259356559,Mariam
-3.7228618848861847,Mariam
-2.190435909352076,Mariam
-3.0219451240309674,Mariam
-4.3779325775720315,Mariam
-1.0601245746735504,Mariam
-2.0297670415035225,Mariam
-6.838921395177141,Mariam
-2.926107617369733,Mariam
-4.124279930950306,Mariam
-4.654201016320411,Mariam
-1.8063913072980031,Mariam
-3.3212300873603633,Mariam
-4.961101267751221,Mariam
-4.4929612999908475,Mariam
-4.031018460354679,Mariam
-1.588940484526768,Mariam
-1.221244338270488,Mariam
-0.9980735663762476,Mariam
-1.4811296427902714,Mariam
-1.0888852490074017,Mariam
-1.6854522786522306,Mariam
-2.58594064640041,Mariam
-1.321735944737188,Mariam
-1.8657419637907608,Mariam
-1.9337283580966584,Mariam
