x,y,z,color
-1.3916234744397464,-4.0288283780444285,-3.93284398117002,red
0.025920272069291966,0.727898501695788,0.9430354788353104,red
-1.5062070444156017,-1.61761414028101,-5.652934935545309,red
-1.4811296427902714,-1.0888852490074017,-1.6854522786522306,red
-1.0734614733750845,-2.5498741629157595,-1.6868364045675732,red
-0.5554450841261701,-2.7010926779634543,-3.1075339421015022,red
0.2879518483762865,-0.3037925643006566,-1.3683466779213949,red
-5.1457833547696605,-3.458182708640584,-3.540390687535955,red
-0.7088488177375554,-3.2727308227226715,-2.066458458149853,red
-2.5774061446017917,-1.915244986684597,-2.8437133764858338,red
-0.806890723989785,-2.892254852348594,-4.088230988839791,red
-2.2996104597791347,-2.0702115207915295,-1.1926910167484446,red
-5.378590806642622,-4.5905042947448305,-2.3880427258536105,red
-2.4550033569097858,-2.8699855297370442,-3.007779897710417,red
-0.9509453035836583,3.2279116850317786,1.9757033200824257,red
-2.344773791634407,-7.924939810551014,-4.825861460442469,red
-1.003855332944325,-1.8965238116386665,-0.33289121954907674,red
-2.0427749855666457,-2.9168834449777927,-3.14608336702771,red
-1.8800358231536047,-2.473307189841495,-1.5838313910086725,red
-2.7828553612316784,-0.2435392849733813,-0.0166813077342452,red
-3.623996806843383,-4.224992093210078,-5.306184508028236,red
-2.210905063127006,0.2514424123867097,0.3778371258449417,red
-1.7827088711148467,-1.227383151505779,-1.8762027101886012,red
-2.885179067418974,-3.517193273835818,-3.83876051266574,red
-1.4615781084701112,-0.6925635498058628,-1.0034681082812082,red
-2.509431477703477,-2.72259546140351,-2.6470414956473043,red
0.3531963102757868,-0.5271158719950725,-0.6907147116253454,red
0.7341429345399296,-0.7149516452210833,0.17022298295836358,red
-2.1660608078131753,-1.3506854811472926,-2.0196568879865415,red
-3.2171727110516075,-3.5318910488942414,-2.9766889318827894,red
-3.566207240008422,-2.0519099953050723,-2.268510586139832,red
-1.4091873627364937,-2.223146584315802,-2.142747286627162,red
-1.583888475326069,-3.3743235784471386,-2.8041032833989967,red
-0.9552921258758207,-3.327274919065786,-1.9247592462874181,red
-0.2847716653195881,-0.5866772416650912,-0.7918499159390964,red
-4.144178087408049,-1.51071513972167,-1.446112194903906,red
